out,group,pos,bit,orig_posenc,cand_posenc,delta,new_loss
12,2,2,3,0001,1001,0.00016023963689804077,0.031748972833156586
3,2,1,2,0010,0110,0.0005003884434700012,0.032089121639728546
3,2,4,1,1011,1001,0.001168467104434967,0.03275720030069351
3,1,2,1,0011,0001,0.0006414428353309631,0.03223017603158951
3,2,7,1,0001,0011,0.0002704598009586334,0.03185919299721718
11,2,8,3,1011,0011,0.00015097856521606445,0.03173971176147461
12,1,2,0,0010,0011,0.00033442676067352295,0.03192315995693207
2,2,7,1,0111,0101,0.0011810213327407837,0.03276975452899933
2,1,8,0,0010,0011,0.001212581992149353,0.0328013151884079
3,2,0,2,0010,0110,0.000511612743139267,0.03210034593939781
3,2,6,3,0110,1110,0.0006070360541343689,0.032195769250392914
3,2,3,2,0011,0111,0.0016295835375785828,0.03321831673383713
11,2,7,1,0111,0101,0.0006167665123939514,0.032205499708652496
12,1,1,1,0011,0001,0.0007165148854255676,0.03230524808168411
2,1,7,3,1011,0011,0.0005026459693908691,0.032091379165649414
2,2,6,1,0011,0001,0.0008488520979881287,0.032437585294246674
3,1,3,1,0011,0001,0.000318869948387146,0.03190760314464569
3,1,0,2,0011,0111,0.0006032995879650116,0.032192032784223557
3,2,5,0,0010,0011,0.000286296010017395,0.03187502920627594
11,2,6,0,1011,1010,0.0003342479467391968,0.03192298114299774
