step,mode,flips_used,cost,layer_name,weight_idx,bit_pos,old_int8,new_int8,delta_value_fp32,proxy_score,exact_score,L_calib,delta_L_calib,L_eval,delta_L_eval,acc_eval,delta_acc_eval,topk_considered,verification_time,objective
1,global,1,1,layer2.0.downsample.0,410,7,79,-49,-0.583704,0.044953,0.132136,0.309316,0.132136,0.308589,0.058087,90.4000,-1.7500,64,8.8099,0.058087
2,global,2,1,layer2.0.downsample.0,63,7,-38,90,0.583704,0.056827,0.216186,0.525502,0.216186,0.480233,0.171644,86.7500,-3.6500,64,8.8768,0.171644
3,global,3,1,layer2.0.downsample.0,303,7,63,-65,-0.583704,0.240249,0.396562,0.922064,0.396562,0.843829,0.363596,80.1500,-6.6000,64,8.9205,0.363596
4,global,4,1,layer2.0.downsample.0,59,7,-25,103,0.583704,0.361728,0.485348,1.407412,0.485348,1.320510,0.476681,72.0500,-8.1000,64,8.8362,0.476681
5,global,5,1,layer2.0.downsample.0,60,7,-42,86,0.583704,0.559302,0.731454,2.138865,0.731454,2.051147,0.730637,61.5000,-10.5500,64,9.0137,0.730637
6,global,6,1,layer2.0.downsample.0,48,7,-36,92,0.583704,0.805667,0.958481,3.097347,0.958481,2.990185,0.939037,51.3000,-10.2000,64,9.3307,0.939037
7,global,7,1,layer2.2.conv1,6368,7,-14,114,0.382987,0.636759,1.434413,4.531760,1.434413,4.366480,1.376295,40.4000,-10.9000,64,8.9290,1.376295
8,global,8,1,layer2.0.downsample.0,393,7,51,-77,-0.583704,1.639534,1.043571,5.575331,1.043571,5.359416,0.992937,33.0500,-7.3500,64,8.8290,0.992937
9,global,9,1,layer3.2.conv1,25204,7,-25,103,0.196116,1.017744,1.346823,6.922154,1.346823,6.552992,1.193576,28.1000,-4.9500,64,8.5984,1.193576
10,global,10,1,layer2.0.downsample.0,98,7,33,-95,-0.583704,2.462494,2.018583,8.940738,2.018583,8.230651,1.677659,19.0000,-9.1000,64,8.8522,1.677659
11,global,11,1,layer3.2.conv1,25201,7,-32,96,0.196116,2.005530,2.292811,11.233549,2.292811,10.320075,2.089424,16.2000,-2.8000,64,8.8062,2.089424
12,global,12,1,layer3.2.conv1,25202,7,-30,98,0.196116,2.236091,2.418814,13.652363,2.418814,12.565219,2.245144,14.4000,-1.8000,64,8.7873,2.245144
13,global,13,1,layer3.0.downsample.0,547,7,-25,103,0.226453,1.474101,2.500483,16.152845,2.500483,15.062927,2.497708,12.4500,-1.9500,64,8.7138,2.497708
14,global,14,1,layer3.1.conv1,21118,7,39,-89,-0.212938,2.139812,3.012209,19.165054,3.012209,17.961094,2.898168,11.8000,-0.6500,64,8.6878,2.898168
