step,mode,flips_used,cost,layer_name,weight_idx,bit_pos,old_int8,new_int8,delta_value_fp32,proxy_score,exact_score,L_calib,delta_L_calib,L_eval,delta_L_eval,acc_eval,delta_acc_eval,topk_considered,verification_time,objective
1,nonzero_only,1,1,layer2.0.downsample.0,410,7,79,-49,-0.583704,0.044953,0.132136,0.309316,0.132136,0.308589,0.058087,90.4000,-1.7500,64,8.6412,0.058087
2,nonzero_only,2,1,layer2.0.downsample.0,63,7,-38,90,0.583704,0.056827,0.216186,0.525502,0.216186,0.480233,0.171644,86.7500,-3.6500,64,8.6387,0.171644
3,nonzero_only,3,1,layer2.0.downsample.0,303,7,63,-65,-0.583704,0.240249,0.396562,0.922064,0.396562,0.843829,0.363596,80.1500,-6.6000,64,8.5185,0.363596
4,nonzero_only,4,1,layer2.0.downsample.0,59,7,-25,103,0.583704,0.361728,0.485348,1.407412,0.485348,1.320510,0.476681,72.0500,-8.1000,64,8.8788,0.476681
5,nonzero_only,5,1,layer2.0.downsample.0,60,7,-42,86,0.583704,0.559302,0.731454,2.138865,0.731454,2.051147,0.730637,61.5000,-10.5500,64,8.8182,0.730637
6,nonzero_only,6,1,layer2.2.conv1,6368,7,-14,114,0.382987,0.354850,1.003632,3.142497,1.003632,3.047281,0.996133,50.6000,-10.9000,64,8.7390,0.996133
7,nonzero_only,7,1,layer2.0.downsample.0,48,7,-36,92,0.583704,1.087069,1.389263,4.531760,1.389263,4.366480,1.319199,40.4000,-10.2000,64,8.5809,1.319199
8,nonzero_only,8,1,layer2.0.downsample.0,393,7,51,-77,-0.583704,1.639534,1.043571,5.575331,1.043571,5.359416,0.992937,33.0500,-7.3500,64,8.8874,0.992937
9,nonzero_only,9,1,layer3.2.conv1,25204,7,-25,103,0.196116,1.017744,1.346823,6.922154,1.346823,6.552992,1.193576,28.1000,-4.9500,64,8.8982,1.193576
10,nonzero_only,10,1,layer2.0.downsample.0,98,7,33,-95,-0.583704,2.462494,2.018583,8.940738,2.018583,8.230651,1.677659,19.0000,-9.1000,64,8.7145,1.677659
11,nonzero_only,11,1,layer3.2.conv1,25201,7,-32,96,0.196116,2.005530,2.292811,11.233549,2.292811,10.320075,2.089424,16.2000,-2.8000,64,8.6872,2.089424
12,nonzero_only,12,1,layer3.2.conv1,25202,7,-30,98,0.196116,2.236091,2.418814,13.652363,2.418814,12.565219,2.245144,14.4000,-1.8000,64,8.6626,2.245144
13,nonzero_only,13,1,layer3.0.downsample.0,547,7,-25,103,0.226453,1.474101,2.500483,16.152845,2.500483,15.062927,2.497708,12.4500,-1.9500,64,9.1922,2.497708
14,nonzero_only,14,1,layer3.1.conv1,21118,7,39,-89,-0.212938,2.139812,3.012209,19.165054,3.012209,17.961094,2.898168,11.8000,-0.6500,64,9.0761,2.898168
