mode,mode_display,seed,topk,baseline_acc,final_acc,acc_drop,baseline_loss_eval,final_loss_eval,loss_increase,n_acc_increase_steps,n_loss_decrease_steps,acc_increase_steps,loss_decrease_steps,wall_time_sec
zero_only,sparse-gated : zero-only (dense-view search),0,64,92.40%,89.90%,2.50%,0.269775,0.361839,0.092063,0,0,[],[],47.39
zero_only,sparse-gated : zero-only (dense-view search),1,64,92.25%,86.10%,6.15%,0.268054,0.512892,0.244837,0,0,[],[],70.47
zero_only,sparse-gated : zero-only (dense-view search),2,64,92.80%,91.80%,1.00%,0.254427,0.278447,0.024020,0,0,[],[],23.13
zero_only,sparse-gated : zero-only (dense-view search),3,64,92.10%,91.30%,0.80%,0.282221,0.312461,0.030240,0,0,[],[],34.79
zero_only,sparse-gated : zero-only (dense-view search),4,64,92.15%,82.65%,9.50%,0.250502,0.574317,0.323816,0,0,[],[],47.11
zero_only,sparse-gated : zero-only (dense-view search),5,64,92.55%,84.25%,8.30%,0.249384,0.525504,0.276120,0,0,[],[],58.61
zero_only,sparse-gated : zero-only (dense-view search),6,64,92.40%,90.30%,2.10%,0.254596,0.360597,0.106001,0,0,[],[],46.96
zero_only,sparse-gated : zero-only (dense-view search),7,64,92.25%,91.15%,1.10%,0.260093,0.289819,0.029726,0,0,[],[],34.90
zero_only,sparse-gated : zero-only (dense-view search),8,64,91.55%,81.75%,9.80%,0.292617,0.617948,0.325331,0,0,[],[],47.12
zero_only,sparse-gated : zero-only (dense-view search),9,64,92.70%,92.15%,0.55%,0.234832,0.282626,0.047794,0,0,[],[],22.59
