step,mode,layer_name,weight_idx,old_int8,new_int8,grad_val,attack_loss_before,attack_loss_after,delta_attack_loss,eval_loss,eval_acc,n_layer_candidates,n_global_candidates,elapsed_sec
1,global,layer1.0.conv1,322,51,-77,-0.04653327,0.03129639,0.06662362,0.03532723,0.27930227,91.7000,1,37,4.8490
2,global,layer1.0.conv2,1556,-4,124,0.08999595,0.06662362,0.10767971,0.04105609,0.29631857,91.7500,1,30,4.7547
3,global,layer1.0.conv1,30,-11,117,0.15016571,0.10767971,0.25394875,0.14626904,0.36050794,89.4000,1,21,4.9235
4,global,layer1.0.conv2,1445,-12,116,0.62461972,0.25394875,0.54275972,0.28881097,0.57542988,83.8000,1,17,4.6305
5,global,layer1.1.conv2,1446,-19,109,0.42493761,0.54275972,0.67577869,0.13301897,0.69103433,80.6500,1,21,4.7582
6,global,layer2.2.conv1,1666,9,-119,-0.35386759,0.67577869,0.80762684,0.13184816,0.83947975,78.1500,4,20,4.6017
7,global,layer1.0.conv2,1448,-19,109,1.50842214,0.80762684,1.47119379,0.66356695,1.45118540,67.4500,1,18,4.4931
8,global,layer2.2.conv1,5991,-9,119,0.65845990,1.47119379,2.38318563,0.91199183,2.45789181,54.1500,1,17,4.4022
9,global,layer2.2.conv1,5990,-9,119,4.48724985,2.38318563,5.73045826,3.34727263,6.16497321,28.5500,1,15,5.0921
10,global,layer2.2.conv1,5986,-6,122,11.56164551,5.73045826,9.85131168,4.12085342,10.50110281,16.4500,1,15,4.9663
11,global,layer3.1.conv1,14038,44,-84,-8.95064163,9.85131168,11.57956028,1.72824860,12.51544552,15.6500,2,18,4.4246
12,global,layer2.2.conv2,5082,20,-108,-14.09620476,11.57956028,13.46730042,1.88774014,14.28966920,13.4000,1,18,5.0289
13,global,layer1.0.conv1,1039,-20,108,1.79230547,13.46730042,16.20677757,2.73947716,17.14190720,11.1000,2,20,4.9674
14,global,layer3.1.conv2,13688,-19,109,14.03264046,16.20677757,19.02920532,2.82242775,20.37820726,10.7000,3,21,4.6580
15,global,layer3.1.conv2,13687,-33,95,16.11109543,19.02920532,22.17747307,3.14826775,24.02336726,10.5000,2,17,4.7491
16,global,layer3.1.conv2,13685,-15,113,17.31735229,22.17747307,25.49253464,3.31506157,27.76818507,10.3500,1,18,4.7079
17,global,layer1.0.conv1,1035,-20,108,2.15588903,25.49253464,29.34202957,3.84949493,31.84060068,9.6500,1,22,4.7199
18,global,layer3.0.conv1,12019,26,-102,-14.18453407,29.34202957,33.65750122,4.31547165,36.25219012,9.6500,2,30,4.5199
19,global,layer3.1.conv1,35348,25,-103,-28.99804688,33.65750122,38.38670731,4.72920609,41.61690460,9.6500,4,28,4.4391
20,global,layer3.0.conv1,6263,-15,113,15.47573853,38.38670731,43.16103745,4.77433014,46.52265192,9.6000,1,16,4.5218
21,global,layer2.2.conv1,5935,-22,106,5.64417076,43.16103745,48.10465622,4.94361877,49.95343253,9.6000,1,19,4.4395
22,global,layer3.1.conv2,13315,-27,101,26.46721649,48.10465622,52.99207306,4.88741684,55.07339658,9.6000,1,23,4.7331
23,global,layer3.0.conv1,8276,70,-58,-17.79872894,52.99207306,58.01713562,5.02506256,60.43630502,9.6000,3,23,4.7498
24,global,layer3.1.conv2,3320,22,-106,-28.32561493,58.01713562,63.00711823,4.98998260,65.77131049,9.6000,1,25,4.5157
25,global,layer3.1.conv2,13314,-17,111,28.22088432,63.00711823,68.18224335,5.17512512,71.26129468,9.6000,1,22,4.6152
