step,mode,layer_name,weight_idx,old_int8,new_int8,grad_val,attack_loss_before,attack_loss_after,delta_attack_loss,eval_loss,eval_acc,n_layer_candidates,n_global_candidates,elapsed_sec
1,nonzero_only,layer1.0.conv1,322,51,-77,-0.04653327,0.03129639,0.06662362,0.03532723,0.27930227,91.7000,1,55,5.2349
2,nonzero_only,layer1.0.conv1,30,-11,117,0.09152042,0.06662362,0.15600760,0.08938398,0.30229095,91.4000,3,52,4.9563
3,nonzero_only,layer1.0.conv2,1445,-12,116,0.32125634,0.15600760,0.33575603,0.17974843,0.42165514,87.2000,1,30,5.2214
4,nonzero_only,layer1.0.conv2,1448,-19,109,0.79273289,0.33575603,0.63597083,0.30021480,0.69619718,80.2500,1,31,4.9074
5,nonzero_only,layer1.1.conv2,1446,-19,109,0.48569009,0.63597083,0.79742342,0.16145259,0.83769596,76.9500,2,35,5.3148
6,nonzero_only,layer1.2.conv1,2110,14,-114,-0.66159576,0.79742342,1.01076663,0.21334320,1.08489013,72.7500,3,34,5.2979
7,nonzero_only,layer1.2.conv1,1102,11,-117,-1.06859851,1.01076663,1.35578644,0.34501982,1.50230099,66.0000,3,37,4.4544
8,nonzero_only,layer1.0.conv1,1035,-20,108,1.10299397,1.35578644,1.95493412,0.59914768,2.15943240,56.4500,1,36,4.9071
9,nonzero_only,layer1.0.conv2,1509,-19,109,3.29950547,1.95493412,3.26594162,1.31100750,3.61180099,37.3000,2,38,4.4333
10,nonzero_only,layer1.0.conv1,1039,-20,108,2.05012894,3.26594162,5.12831736,1.86237574,5.61125445,20.7500,1,36,4.7370
11,nonzero_only,layer1.2.conv1,240,-21,107,4.60101175,5.12831736,7.71116114,2.58284378,8.66183019,12.7000,3,38,4.5834
12,nonzero_only,layer1.2.conv1,234,-17,111,10.92074299,7.71116114,10.09533691,2.38417578,11.14288443,10.6000,2,40,4.9280
13,nonzero_only,layer2.1.conv1,8869,-23,105,3.77578020,10.09533691,12.76807880,2.67274189,14.08404481,10.2500,2,46,4.5470
14,nonzero_only,layer2.1.conv1,8867,-6,122,18.95144463,12.76807880,16.01677322,3.24869442,16.62349716,9.7500,1,34,5.1346
15,nonzero_only,layer3.1.conv1,27841,20,-108,-31.53991318,16.01677322,20.14900589,4.13223267,21.39687799,9.7500,5,36,4.8388
16,nonzero_only,layer3.1.conv1,4222,31,-97,-21.76931000,20.14900589,23.51260757,3.36360168,25.27222281,9.7500,5,41,4.9181
17,nonzero_only,layer2.1.conv2,1425,-32,96,21.46578407,23.51260757,27.06608009,3.55347252,29.18692133,9.6000,1,35,4.8206
18,nonzero_only,layer1.0.conv1,1042,-14,114,2.47732353,27.06608009,30.33665848,3.27057838,31.72545709,9.5500,3,37,4.9134
19,nonzero_only,layer3.0.conv2,3346,31,-97,-30.50488281,30.33665848,35.15688705,4.82022858,36.13990695,9.5500,1,35,5.3144
20,nonzero_only,layer3.0.conv2,13354,-26,102,31.00581551,35.15688705,41.13057327,5.97368622,42.19587973,9.5500,1,43,4.8484
21,nonzero_only,layer2.0.conv2,1411,-47,81,10.49768257,41.13057327,44.41378784,3.28321457,46.36575058,9.5500,1,31,4.8584
22,nonzero_only,layer1.0.conv2,1506,-55,73,-6.75300646,44.41378784,50.35587692,5.94208908,50.96079736,9.5500,2,26,4.6932
23,nonzero_only,layer3.1.conv1,4223,27,-101,-51.01846695,50.35587692,56.48211670,6.12623978,57.56331851,9.5500,3,29,4.6096
24,nonzero_only,layer3.1.conv2,2995,38,-90,-29.70569229,56.48211670,61.65988159,5.17776489,62.72571326,9.5500,4,34,4.8072
