flip,baseline_acc_this_step,after_acc,step_drop,cumulative_drop_from_step1_baseline
1,92.1600,91.9200,0.2400,0.2400
2,91.9200,91.6300,0.2900,0.5300
3,91.6300,90.3600,1.2700,1.8000
4,90.3600,88.8800,1.4800,3.2800
5,88.8800,87.3700,1.5100,4.7900
6,87.3700,85.4000,1.9700,6.7600
7,85.4000,83.1600,2.2400,9.0000
8,83.1600,80.9300,2.2300,11.2300
9,80.9300,77.8100,3.1200,14.3500
10,77.8100,73.0900,4.7200,19.0700
11,73.0900,68.5300,4.5600,23.6300
12,68.5300,64.4500,4.0800,27.7100
13,64.4500,60.7200,3.7300,31.4400
14,60.7200,56.6900,4.0300,35.4700
15,56.6900,53.3900,3.3000,38.7700
16,53.3900,49.7000,3.6900,42.4600
17,49.7000,45.5500,4.1500,46.6100
18,45.5500,43.2900,2.2600,48.8700
19,43.2900,40.4700,2.8200,51.6900
20,40.4700,37.8200,2.6500,54.3400
21,37.8200,36.7000,1.1200,55.4600
22,36.7000,35.3600,1.3400,56.8000
23,35.3600,33.3800,1.9800,58.7800
24,33.3800,31.3600,2.0200,60.8000
25,31.3600,29.5500,1.8100,62.6100
26,29.5500,28.1600,1.3900,64.0000
27,28.1600,27.6900,0.4700,64.4700
28,27.6900,26.7700,0.9200,65.3900
29,26.7700,24.6600,2.1100,67.5000
30,24.6600,23.5400,1.1200,68.6200
