rank,action_type,layer_name,cost,proxy_norm,exact_delta,exact_norm,apply_ok,revert_ok,pre_eq_baseline,post_eq_pre,post_eq_baseline,repeat_abs,repeat_ok
0,weight_bit,layer3.1.conv1,1,3.6920427413152765,2.035860061645508,2.035860061645508,True,True,True,True,True,0.0,True
1,weight_bit,layer3.0.conv2,1,3.674193310272017,3.4892539978027344,3.4892539978027344,True,True,True,True,True,0.0,True
2,weight_bit,layer3.0.conv2,1,3.6694958852388027,3.5740127563476562,3.5740127563476562,True,True,True,True,True,0.0,True
3,weight_bit,layer3.0.conv2,1,3.6223376252097523,3.6654930114746094,3.6654930114746094,True,True,True,True,True,0.0,True
4,weight_bit,layer3.0.conv2,1,3.6214932517087846,3.5144996643066406,3.5144996643066406,True,True,True,True,True,0.0,True
5,weight_bit,layer3.0.conv2,1,3.5687187130301368,2.5279922485351562,2.5279922485351562,True,True,True,True,True,0.0,True
6,weight_bit,layer3.1.conv1,1,3.5515774285755697,2.1482276916503906,2.1482276916503906,True,True,True,True,True,0.0,True
7,weight_bit,layer3.1.conv1,1,3.4844262135549684,2.1223888397216797,2.1223888397216797,True,True,True,True,True,0.0,True
8,weight_bit,layer3.0.conv2,1,3.4731599283732066,3.286855697631836,3.286855697631836,True,True,True,True,True,0.0,True
9,weight_bit,layer3.0.conv2,1,3.3849109488404565,3.275836944580078,3.275836944580078,True,True,True,True,True,0.0,True
10,weight_bit,layer3.0.conv2,1,3.3797817781114645,2.3310985565185547,2.3310985565185547,True,True,True,True,True,0.0,True
11,weight_bit,layer3.0.conv2,1,3.2797954094811814,3.193387985229492,3.193387985229492,True,True,True,True,True,0.0,True
12,weight_bit,layer3.1.conv1,1,3.264622822854676,2.0099353790283203,2.0099353790283203,True,True,True,True,True,0.0,True
13,weight_bit,layer3.1.conv1,1,3.244116839952028,1.9470252990722656,1.9470252990722656,True,True,True,True,True,0.0,True
14,weight_bit,layer3.0.conv2,1,3.2113798474205737,2.46868896484375,2.46868896484375,True,True,True,True,True,0.0,True
15,weight_bit,layer3.1.conv1,1,3.1529686008903184,1.8873977661132812,1.8873977661132812,True,True,True,True,True,0.0,True
16,weight_bit,layer3.0.conv2,1,3.1174448885954575,2.392305374145508,2.392305374145508,True,True,True,True,True,0.0,True
17,weight_bit,layer3.0.conv2,1,3.078973718391694,2.5969581604003906,2.5969581604003906,True,True,True,True,True,0.0,True
18,weight_bit,layer3.0.conv2,1,3.039735442828089,2.8937301635742188,2.8937301635742188,True,True,True,True,True,0.0,True
19,weight_bit,layer3.0.conv2,1,2.9996177442974385,2.3428955078125,2.3428955078125,True,True,True,True,True,0.0,True
20,weight_bit,layer3.0.conv2,1,2.9789622575300143,2.2720279693603516,2.2720279693603516,True,True,True,True,True,0.0,True
21,weight_bit,layer3.0.conv2,1,2.8832409708030866,2.3236083984375,2.3236083984375,True,True,True,True,True,0.0,True
22,weight_bit,layer3.0.conv2,1,2.8698124449672946,2.2273731231689453,2.2273731231689453,True,True,True,True,True,0.0,True
23,weight_bit,layer3.1.conv1,1,2.8657290826735107,1.7066173553466797,1.7066173553466797,True,True,True,True,True,0.0,True
24,weight_bit,layer3.0.conv2,1,2.8142968787255995,2.1801376342773438,2.1801376342773438,True,True,True,True,True,0.0,True
25,weight_bit,layer3.0.conv2,1,2.8037356381886127,2.2849197387695312,2.2849197387695312,True,True,True,True,True,0.0,True
26,weight_bit,layer3.0.conv2,1,2.731285404635173,2.090604782104492,2.090604782104492,True,True,True,True,True,0.0,True
27,weight_bit,layer3.1.conv1,1,2.688002982763237,1.7652969360351562,1.7652969360351562,True,True,True,True,True,0.0,True
28,weight_bit,layer3.0.conv2,1,2.680316710038312,2.1920623779296875,2.1920623779296875,True,True,True,True,True,0.0,True
29,weight_bit,layer3.0.conv2,1,2.584043991654738,2.337038040161133,2.337038040161133,True,True,True,True,True,0.0,True
30,weight_bit,layer3.0.conv2,1,2.559550588351783,2.0449142456054688,2.0449142456054688,True,True,True,True,True,0.0,True
31,weight_bit,layer3.0.downsample.0,1,2.5571844569490167,1.8666057586669922,1.8666057586669922,True,True,True,True,True,0.0,True
32,weight_bit,layer3.1.conv1,1,2.5343719915238125,1.1932106018066406,1.1932106018066406,True,True,True,True,True,0.0,True
33,weight_bit,layer3.0.conv2,1,2.5162933737261426,2.0482406616210938,2.0482406616210938,True,True,True,True,True,0.0,True
34,weight_bit,layer3.1.conv1,1,2.5107337988300173,1.6552619934082031,1.6552619934082031,True,True,True,True,True,0.0,True
35,weight_bit,layer2.0.downsample.0,1,2.5083735077670326,1.4803085327148438,1.4803085327148438,True,True,True,True,True,0.0,True
36,weight_bit,layer3.2.conv1,1,2.506340162638992,2.446849822998047,2.446849822998047,True,True,True,True,True,0.0,True
37,weight_bit,layer3.0.conv2,1,2.5055977105209593,2.344747543334961,2.344747543334961,True,True,True,True,True,0.0,True
38,weight_bit,layer3.2.conv1,1,2.4877728733744107,2.420185089111328,2.420185089111328,True,True,True,True,True,0.0,True
39,weight_bit,layer3.1.conv1,1,2.487311676624927,1.4816131591796875,1.4816131591796875,True,True,True,True,True,0.0,True
40,weight_bit,layer3.0.conv2,1,2.484844642853659,2.281595230102539,2.281595230102539,True,True,True,True,True,0.0,True
41,weight_bit,layer3.0.conv2,1,2.4804264186809064,2.251180648803711,2.251180648803711,True,True,True,True,True,0.0,True
42,weight_bit,layer3.2.conv1,1,2.457784552228958,2.520589828491211,2.520589828491211,True,True,True,True,True,0.0,True
43,weight_bit,layer2.0.downsample.0,1,2.45579298889146,1.1612319946289062,1.1612319946289062,True,True,True,True,True,0.0,True
44,weight_bit,layer3.0.conv2,1,2.407890752053902,2.2365989685058594,2.2365989685058594,True,True,True,True,True,0.0,True
45,weight_bit,layer3.1.conv2,1,2.393956266886846,1.6663837432861328,1.6663837432861328,True,True,True,True,True,0.0,True
46,weight_bit,layer3.0.conv2,1,2.390563968840411,1.8976325988769531,1.8976325988769531,True,True,True,True,True,0.0,True
47,weight_bit,layer3.1.conv2,1,2.381594430722771,1.7696876525878906,1.7696876525878906,True,True,True,True,True,0.0,True
48,weight_bit,layer3.1.conv1,1,2.3814454631841215,1.1373291015625,1.1373291015625,True,True,True,True,True,0.0,True
49,weight_bit,layer3.2.conv1,1,2.358781515516398,2.4009952545166016,2.4009952545166016,True,True,True,True,True,0.0,True
50,weight_bit,layer3.0.conv2,1,2.34825727183744,2.1355743408203125,2.1355743408203125,True,True,True,True,True,0.0,True
51,weight_bit,layer3.0.conv2,1,2.319539810438016,2.057096481323242,2.057096481323242,True,True,True,True,True,0.0,True
