step0,step1,action_type,N_total,N_topk,N_sampled,proxy_norm_max,proxy_norm_p99,proxy_norm_median,proxy_norm_min,selected_action_type,selected_exact_norm,topk_threshold
0,1,weight_bit,10500,63,10500,0.2001410938018644,0.06389999539905311,0.011857996137482951,0.0017388914740584238,weight_bit,0.5389866083860397,0.07729020268616171
0,1,index_1bit,50137,1,50137,0.07750987261533737,0.007737832143902779,0.0004401831538416445,3.015250715776574e-09,weight_bit,0.5389866083860397,0.07729020268616171
0,1,bitmask_swap,50137,0,50137,0.038754936307668686,0.0038689160719513893,0.00022009157692082226,1.507625357888287e-09,weight_bit,0.5389866083860397,0.07729020268616171
1,2,weight_bit,10500,64,10500,0.48766668720180917,0.17791039246337448,0.024989146929104367,0.0042176181029750515,weight_bit,0.9009289741516113,0.20344077872685684
1,2,index_1bit,49876,0,49876,0.19757123291492462,0.016370318830013275,0.0007802677864674479,3.876873577723927e-08,weight_bit,0.9009289741516113,0.20344077872685684
1,2,bitmask_swap,49876,0,49876,0.09878561645746231,0.008185159415006638,0.00039013389323372394,1.9384367888619636e-08,weight_bit,0.9009289741516113,0.20344077872685684
2,3,weight_bit,10500,64,10500,1.1554807901281379,0.4223707024473953,0.05992902459775351,0.009021717840638876,weight_bit,2.0254127979278564,0.5314896844756021
2,3,index_1bit,49830,0,49830,0.4411608874797821,0.04291399195790291,0.0016362361493520439,1.1834611512995252e-08,weight_bit,2.0254127979278564,0.5314896844756021
2,3,bitmask_swap,49830,0,49830,0.22058044373989105,0.021456995978951454,0.0008181180746760219,5.917305756497626e-09,weight_bit,2.0254127979278564,0.5314896844756021
3,4,weight_bit,10500,62,10500,2.84661136918578,0.9091447770861834,0.12296791744030777,0.018704505487617595,weight_bit,3.555081844329834,1.0969262580512833
3,4,index_1bit,49838,2,49838,1.1513311862945557,0.09537449479103088,0.0028531841235235333,5.1445688598050765e-08,weight_bit,3.555081844329834,1.0969262580512833
3,4,bitmask_swap,49838,0,49838,0.5756655931472778,0.04768724739551544,0.0014265920617617667,2.5722844299025382e-08,weight_bit,3.555081844329834,1.0969262580512833
4,5,weight_bit,10500,61,10500,4.190017699837881,1.2190814173465654,0.1924830309756551,0.026039575875835386,weight_bit,3.5878586769104004,1.4921398076787682
4,5,index_1bit,49848,3,49848,1.7098098993301392,0.13876482844352722,0.004040623316541314,4.943006715052434e-08,weight_bit,3.5878586769104004,1.4921398076787682
4,5,bitmask_swap,49848,0,49848,0.8549049496650696,0.06938241422176361,0.002020311658270657,2.471503357526217e-08,weight_bit,3.5878586769104004,1.4921398076787682
5,6,weight_bit,10500,61,10500,3.398459519464268,1.083222510128607,0.19786116171917634,0.026920161549158106,weight_bit,3.2552242279052734,1.2748651841070142
5,6,index_1bit,49881,3,49881,1.3806241750717163,0.13631485402584076,0.0034527292009443045,1.2352858319575333e-11,weight_bit,3.2552242279052734,1.2748651841070142
