step0,step1,action_type,N_total,N_topk,N_sampled,proxy_norm_max,proxy_norm_p99,proxy_norm_median,proxy_norm_min,selected_action_type,selected_exact_norm,topk_threshold
0,1,weight_bit,10500,64,1000,0.2001410938018644,0.06389999539905311,0.011857996137482951,0.0017388914740584238,weight_bit,0.5389866083860397,0.03316885977008699
0,1,index_1bit,50137,0,1000,0.07750987261533737,0.007737832143902779,0.0004401831538416445,3.015250715776574e-09,weight_bit,0.5389866083860397,0.03316885977008699
0,1,bitmask_swap,50137,0,1000,0.038754936307668686,0.0038689160719513893,0.00022009157692082226,1.507625357888287e-09,weight_bit,0.5389866083860397,0.03316885977008699
1,2,weight_bit,10500,64,1000,0.48766668720180917,0.17791039246337448,0.024989146929104367,0.0042176181029750515,weight_bit,0.671845555305481,0.07456239738341264
1,2,index_1bit,49876,0,1000,0.19757123291492462,0.016370318830013275,0.0007802677864674479,3.876873577723927e-08,weight_bit,0.671845555305481,0.07456239738341264
1,2,bitmask_swap,49876,0,1000,0.09878561645746231,0.008185159415006638,0.00039013389323372394,1.9384367888619636e-08,weight_bit,0.671845555305481,0.07456239738341264
2,3,weight_bit,10500,64,1000,0.9358821899102168,0.33332191126332944,0.04537777775352114,0.006755387619026276,weight_bit,0.8918865919113159,0.17283190195401943
2,3,index_1bit,49917,0,1000,0.4150620996952057,0.03180432319641113,0.001223190687596798,5.4839204288725796e-09,weight_bit,0.8918865919113159,0.17283190195401943
2,3,bitmask_swap,49917,0,1000,0.20753104984760284,0.015902161598205566,0.000611595343798399,2.7419602144362898e-09,weight_bit,0.8918865919113159,0.17283190195401943
3,4,weight_bit,10500,63,1000,1.5354553586392967,0.5137445363647402,0.07628039827069166,0.011691859755650125,weight_bit,2.4413740634918213,0.28480493128495965
3,4,index_1bit,49746,0,1000,0.6117830276489258,0.05389970541000366,0.0018994224956259131,2.8245336625154494e-10,weight_bit,2.4413740634918213,0.28480493128495965
3,4,bitmask_swap,49746,1,1000,0.3058915138244629,0.02694985270500183,0.0009497112478129566,1.4122668312577247e-10,weight_bit,2.4413740634918213,0.28480493128495965
4,5,weight_bit,10500,63,1000,2.5911096206835396,0.830089762277197,0.13634505821402598,0.021243810265707985,weight_bit,1.516951084136963,0.424514451715055
4,5,index_1bit,49907,1,1000,1.073017954826355,0.09311933070421219,0.0028810042422264814,2.5931614633378786e-09,weight_bit,1.516951084136963,0.424514451715055
4,5,bitmask_swap,49907,0,1000,0.5365089774131775,0.046559665352106094,0.0014405021211132407,1.2965807316689393e-09,weight_bit,1.516951084136963,0.424514451715055
5,6,weight_bit,10500,63,1000,2.9811534032316445,1.0146068591308506,0.16644351028747906,0.024686480445576642,weight_bit,2.8290157318115234,0.5035393898924241
5,6,index_1bit,49984,1,1000,1.1878033876419067,0.11158645153045654,0.0032138791866600513,3.8861045936755545e-08,weight_bit,2.8290157318115234,0.5035393898924241
5,6,bitmask_swap,49984,0,1000,0.5939016938209534,0.05579322576522827,0.0016069395933300257,1.9430522968377772e-08,weight_bit,2.8290157318115234,0.5035393898924241
6,7,weight_bit,10500,64,1000,3.593743321079387,1.1965237787107554,0.2156440517760725,0.029771459019001245,weight_bit,2.672579765319824,0.6441651771058474
6,7,index_1bit,49952,0,1000,1.4318821430206299,0.14148129522800446,0.0036034464137628675,7.073749230812609e-08,weight_bit,2.672579765319824,0.6441651771058474
6,7,bitmask_swap,49952,0,1000,0.7159410715103149,0.07074064761400223,0.0018017232068814337,3.5368746154063047e-08,weight_bit,2.672579765319824,0.6441651771058474
7,8,weight_bit,10500,62,1000,3.5411552872418497,1.2702522415604776,0.24139293366625925,0.03014483912140964,weight_bit,3.266594886779785,0.686221240107777
7,8,index_1bit,49936,2,1000,1.4109290838241577,0.15462128818035126,0.003432061057537794,1.0506480234429016e-11,weight_bit,3.266594886779785,0.686221240107777
7,8,bitmask_swap,49936,0,1000,0.7054645419120789,0.07731064409017563,0.001716030528768897,5.253240117214508e-12,weight_bit,3.266594886779785,0.686221240107777
8,9,weight_bit,10500,64,1000,5.687416254538476,1.455174225443045,0.2750459339253757,0.03392375818536797,weight_bit,2.142453193664551,0.8828760265449063
8,9,index_1bit,49821,0,1000,1.8189401626586914,0.1895143836736679,0.0032577060628682375,6.506563066110971e-10,weight_bit,2.142453193664551,0.8828760265449063
8,9,bitmask_swap,49821,0,1000,0.9094700813293457,0.09475719183683395,0.0016288530314341187,3.2532815330554854e-10,weight_bit,2.142453193664551,0.8828760265449063
9,10,weight_bit,10500,64,1000,5.847255149325576,1.5850801495083715,0.2663505319438402,0.030607613784388477,weight_bit,3.393474578857422,0.959176841796392
9,10,index_1bit,49474,0,1000,1.731680989265442,0.2149944305419922,0.0028389105573296547,4.270293157710575e-13,weight_bit,3.393474578857422,0.959176841796392
9,10,bitmask_swap,49474,0,1000,0.865840494632721,0.1074972152709961,0.0014194552786648273,2.1351465788552876e-13,weight_bit,3.393474578857422,0.959176841796392
