layer,groups_total,groups_pop2,single_bit_flips_total,valid_flips,invalid_flips,valid_ratio,pop_after_1,pop_after_3
conv1,108,0,0,0,0,0.0,0,0
layer1.0.conv1,576,576,2304,0,2304,0.0,1152,1152
layer1.0.conv2,576,576,2304,0,2304,0.0,1152,1152
layer1.1.conv1,576,576,2304,0,2304,0.0,1152,1152
layer1.1.conv2,576,576,2304,0,2304,0.0,1152,1152
layer1.2.conv1,576,576,2304,0,2304,0.0,1152,1152
layer1.2.conv2,576,576,2304,0,2304,0.0,1152,1152
layer2.0.conv1,1152,1152,4608,0,4608,0.0,2304,2304
layer2.0.conv2,2304,2304,9216,0,9216,0.0,4608,4608
layer2.0.downsample.0,128,128,512,0,512,0.0,256,256
layer2.1.conv1,2304,2304,9216,0,9216,0.0,4608,4608
layer2.1.conv2,2304,2304,9216,0,9216,0.0,4608,4608
layer2.2.conv1,2304,2304,9216,0,9216,0.0,4608,4608
layer2.2.conv2,2304,2304,9216,0,9216,0.0,4608,4608
layer3.0.conv1,4608,4608,18432,0,18432,0.0,9216,9216
layer3.0.conv2,9216,9216,36864,0,36864,0.0,18432,18432
layer3.0.downsample.0,512,512,2048,0,2048,0.0,1024,1024
layer3.1.conv1,9216,9216,36864,0,36864,0.0,18432,18432
layer3.1.conv2,9216,9216,36864,0,36864,0.0,18432,18432
layer3.2.conv1,9216,9216,36864,0,36864,0.0,18432,18432
layer3.2.conv2,9216,9216,36864,0,36864,0.0,18432,18432
__TOTAL__,67564,67456,269824,0,269824,0.0,134912,134912
