====================================================================================================
Task 3: CSR Encoded Sparse Attack Log
Attack Type: Index-Position
====================================================================================================

Initial Accuracy: 86.54%
Final Accuracy: 53.94%
Total Flips: 50
Target Type: Column Indices

----------------------------------------------------------------------------------------------------
   Flips |   Accuracy |       Loss | Flipped Bit
----------------------------------------------------------------------------------------------------
       0 |     86.54% |     0.5140 | (initial state)
       1 |     89.76% |     0.3723 | 0:csr125:b2
       2 |     87.33% |     0.4670 | 0:csr239:b2
       3 |     87.11% |     0.4674 | conv1:csr4:b1
       4 |     85.97% |     0.5128 | conv1:csr12:b1
       5 |     85.97% |     0.5128 | conv1:csr4:b4
       6 |     88.28% |     0.4068 | 0:csr239:b4
       7 |     88.28% |     0.4068 | conv1:csr4:b3
       8 |     86.81% |     0.4607 | conv1:csr214:b0
       9 |     86.81% |     0.4607 | conv1:csr214:b1
      10 |     86.81% |     0.4607 | conv1:csr214:b4
      11 |     84.69% |     0.5539 | conv1:csr217:b4
      12 |     84.69% |     0.5539 | conv1:csr214:b2
      13 |     82.80% |     0.6261 | conv1:csr940:b3
      14 |     80.96% |     0.6965 | conv1:csr21:b1
      15 |     83.19% |     0.6118 | conv1:csr21:b4
      16 |     81.48% |     0.6759 | conv1:csr21:b0
      17 |     83.13% |     0.6135 | conv1:csr21:b3
      18 |     80.89% |     0.6998 | conv1:csr21:b2
      19 |     76.54% |     1.0090 | 0:csr127:b2
      20 |     80.89% |     0.6998 | 0:csr127:b4
      21 |     79.55% |     0.7713 | conv1:csr172:b1
      22 |     79.13% |     0.7862 | conv1:csr940:b6
      23 |     77.04% |     0.8988 | conv2:csr136:b4
      24 |     77.04% |     0.8988 | conv1:csr940:b4
      25 |     77.04% |     0.8988 | conv1:csr940:b5
      26 |     78.22% |     0.8364 | conv1:csr940:b1
      27 |     76.75% |     0.9120 | conv2:csr636:b4
      28 |     75.44% |     0.9665 | conv1:csr975:b4
      29 |     75.44% |     0.9665 | conv1:csr975:b5
      30 |     74.87% |     1.0690 | 0:csr125:b0
      31 |     75.44% |     0.9665 | 0:csr125:b4
      32 |     72.21% |     1.1456 | conv1:csr616:b3
      33 |     74.41% |     1.0260 | conv1:csr616:b5
      34 |     73.31% |     1.0706 | conv1:csr404:b4
      35 |     70.57% |     1.2180 | conv1:csr291:b1
      36 |     68.59% |     1.3382 | conv1:csr975:b7
      37 |     54.23% |     2.2053 | conv2:csr714:b0
      38 |     62.98% |     1.6610 | conv2:csr714:b2
      39 |     59.92% |     1.8228 | conv2:csr602:b3
      40 |     61.47% |     1.7375 | conv2:csr714:b7
      41 |     55.09% |     2.1191 | conv2:csr713:b0
      42 |     59.77% |     1.8366 | conv1:csr12:b3
      43 |     56.55% |     2.0617 | conv1:csr12:b0
      44 |     65.61% |     1.5029 | conv1:csr12:b4
      45 |     55.09% |     2.1191 | conv1:csr12:b2
      46 |     57.29% |     1.9998 | conv1:csr172:b3
      47 |     54.55% |     2.1812 | conv1:csr974:b1
      48 |     55.20% |     2.1529 | conv1:csr974:b0
      49 |     55.46% |     2.1297 | conv1:csr974:b2
      50 |     53.94% |     2.2479 | conv1:csr974:b4
----------------------------------------------------------------------------------------------------
