====================================================================================================
Task 3: CSR Encoded Sparse Attack Log
Attack Type: Index-Position
====================================================================================================

Initial Accuracy: 92.10%
Final Accuracy: 47.00%
Total Flips: 50
Target Type: Column Indices

----------------------------------------------------------------------------------------------------
   Flips |   Accuracy |       Loss | Flipped Bit
----------------------------------------------------------------------------------------------------
       0 |     92.10% |     0.2818 | (initial state)
       1 |     91.15% |     0.3106 | conv1:csr2:b2
       2 |     90.77% |     0.3214 | conv1:csr940:b1
       3 |     90.99% |     0.3156 | conv1:csr940:b5
       4 |     88.91% |     0.3898 | conv1:csr6:b4
       5 |     87.28% |     0.4485 | conv1:csr112:b4
       6 |     85.01% |     0.5405 | conv1:csr151:b2
       7 |     81.07% |     0.7005 | conv1:csr155:b2
       8 |     76.00% |     0.9352 | conv1:csr86:b2
       9 |     73.04% |     1.0791 | conv2:csr136:b3
      10 |     68.17% |     1.3559 | conv1:csr159:b4
      11 |     69.41% |     1.3002 | conv1:csr2:b3
      12 |     74.04% |     1.0513 | conv1:csr86:b4
      13 |     78.32% |     0.8422 | conv1:csr159:b3
      14 |     72.79% |     1.1136 | conv1:csr159:b1
      15 |     71.06% |     1.2089 | conv1:csr2:b0
      16 |     76.37% |     0.9149 | conv1:csr159:b2
      17 |     72.62% |     1.1143 | conv1:csr161:b2
      18 |     70.35% |     1.2477 | conv1:csr31:b1
      19 |     73.06% |     1.1010 | conv1:csr940:b7
      20 |     76.03% |     0.9641 | conv1:csr2:b1
      21 |     74.86% |     1.0373 | conv1:csr2:b4
      22 |     70.15% |     1.2706 | conv1:csr49:b2
      23 |     64.40% |     1.5933 | conv1:csr93:b2
      24 |     66.39% |     1.4738 | conv1:csr49:b1
      25 |     66.55% |     1.4626 | conv1:csr6:b3
      26 |     77.97% |     0.8738 | conv1:csr6:b2
      27 |     70.86% |     1.2324 | conv1:csr6:b0
      28 |     67.44% |     1.3984 | conv1:csr940:b2
      29 |     65.56% |     1.5980 | conv2:csr852:b1
      30 |     67.82% |     1.3724 | conv2:csr852:b4
      31 |     65.29% |     1.5229 | conv1:csr86:b3
      32 |     61.87% |     1.7374 | conv2:csr636:b3
      33 |     45.50% |     2.8541 | conv2:csr714:b0
      34 |     50.76% |     2.4601 | conv1:csr940:b3
      35 |     60.21% |     1.8405 | conv2:csr714:b2
      36 |     57.35% |     2.0193 | conv1:csr940:b0
      37 |     62.99% |     1.6665 | conv1:csr939:b2
      38 |     57.64% |     2.0012 | conv1:csr943:b2
      39 |     57.72% |     1.9896 | conv2:csr714:b7
      40 |     62.61% |     1.7058 | conv1:csr943:b1
      41 |     56.63% |     2.0617 | conv2:csr713:b0
      42 |     58.74% |     1.9229 | conv1:csr86:b0
      43 |     58.74% |     1.9229 | conv1:csr86:b1
      44 |     59.66% |     1.8606 | conv1:csr939:b0
      45 |     54.06% |     2.2370 | conv1:csr943:b0
      46 |     49.93% |     2.5208 | conv1:csr616:b3
      47 |     47.32% |     2.7272 | conv1:csr102:b3
      48 |     49.85% |     2.5195 | conv1:csr940:b4
      49 |     43.47% |     3.1203 | conv1:csr6:b1
      50 |     47.00% |     2.7617 | conv1:csr8:b4
----------------------------------------------------------------------------------------------------
