====================================================================================================
Task 5: Sparse INT8 CSR Index Attack (Non-Collision)
====================================================================================================

Initial Accuracy: 92.10%
Final Accuracy: 11.10%
Successful Non-Collision Flips Executed: 50
Total Flips Attempted: 13502300
Collisions Avoided (Skipped): 4512650
Accuracy Drop: 81.00%

----------------------------------------------------------------------------------------------------
   Flips |   Accuracy |       Loss | Move (layer:g:old->new)
----------------------------------------------------------------------------------------------------
       0 |     92.10% |     0.2818 | (initial state)
       1 |     91.95% |     0.2892 | conv1:g78:1->3
       2 |     91.57% |     0.3005 | conv1:g31:2->0
       3 |     90.48% |     0.3425 | 0:g63:3->2
       4 |     90.34% |     0.3460 | conv1:g32:1->0
       5 |     90.19% |     0.3571 | conv1:g128:0->2
       6 |     89.66% |     0.3816 | conv2:g974:2->0
       7 |     89.75% |     0.3737 | conv1:g520:0->2
       8 |     89.58% |     0.3772 | conv2:g55:2->0
       9 |     89.18% |     0.3970 | conv2:g83:2->0
      10 |     88.96% |     0.4051 | conv1:g28:1->3
      11 |     89.19% |     0.3894 | conv2:g343:2->0
      12 |     89.03% |     0.3982 | conv1:g498:1->3
      13 |     88.14% |     0.4282 | conv1:g258:1->3
      14 |     87.48% |     0.4519 | 0:g50:2->0
      15 |     86.76% |     0.4891 | conv1:g98:2->0
      16 |     85.67% |     0.5440 | conv2:g311:2->0
      17 |     84.35% |     0.6205 | conv1:g284:0->1
      18 |     83.15% |     0.6715 | conv2:g131:3->2
      19 |     76.95% |     1.0185 | conv2:g355:2->0
      20 |     73.78% |     1.1770 | conv1:g3:1->3
      21 |     66.88% |     1.5668 | conv1:g57:1->3
      22 |     64.19% |     1.7675 | conv1:g310:1->3
      23 |     65.08% |     1.7599 | conv2:g307:2->0
      24 |     59.78% |     2.1262 | conv1:g290:0->1
      25 |     54.39% |     2.5448 | conv1:g222:0->1
      26 |     50.85% |     2.8391 | conv1:g64:0->2
      27 |     48.52% |     3.0862 | 0:g63:2->3
      28 |     45.54% |     3.4324 | conv1:g88:3->1
      29 |     42.15% |     3.8265 | conv1:g522:1->3
      30 |     39.57% |     4.1477 | conv1:g88:2->0
      31 |     40.00% |     4.2074 | conv1:g522:0->2
      32 |     40.32% |     4.1944 | conv1:g522:1->0
      33 |     38.46% |     4.4524 | conv1:g104:1->0
      34 |     35.83% |     4.7247 | conv1:g160:0->2
      35 |     33.61% |     5.0115 | conv1:g156:0->2
      36 |     29.84% |     5.6105 | conv2:g305:2->0
      37 |     24.14% |     6.0009 | 0:g62:3->1
      38 |     22.11% |     6.8115 | 0:g62:1->0
      39 |     19.35% |     7.2500 | conv1:g308:1->0
      40 |     17.16% |     8.4227 | conv2:g17:0->2
      41 |     16.13% |     8.7476 | conv1:g274:1->3
      42 |     14.81% |     9.7123 | conv2:g8260:2->3
      43 |     13.75% |    10.8896 | 0:g462:0->2
      44 |     13.32% |    12.8206 | conv2:g8708:3->1
      45 |     13.04% |    12.9748 | 0:g18:2->3
      46 |     11.90% |    13.7318 | conv1:g138:0->1
      47 |     11.65% |    14.0199 | conv1:g266:1->0
      48 |     11.65% |    14.3244 | conv1:g124:0->2
      49 |     11.64% |    14.4183 | conv1:g402:2->3
      50 |     11.10% |    14.8172 | conv1:g142:0->1
