====================================================================================================
Task 6: ResNet-18 CSR Non-Collision Attack
====================================================================================================

Weights Path: /home/lab-2010/24sparsityBFA/weights/resnet18-f37072fd.pth
Imagenette Root: /home/lab-2010/24sparsityBFA/data/imagenette
BN Calibration Steps: 296
BN Calibration LR: 0.001
Post-BN Sparse FP32 Accuracy: 95.31%
Eval Samples per Check: 256
Max Groups per Layer (sampled): 500
Allow Non-Positive Scores: False
Initial Accuracy: 94.53%
Final Accuracy: 46.09%
Successful Non-Collision Flips Executed: 50
Total Flips Attempted: 1598186
Collisions Avoided (Skipped): 531289
Accuracy Drop: 48.44%

----------------------------------------------------------------------------------------------------
   Flips |   Accuracy |       Loss | Move (layer:g:old->new)
----------------------------------------------------------------------------------------------------
       0 |     94.53% |     0.2800 | (initial state)
       1 |     94.53% |     0.2864 | conv1:g1316:3->2
       2 |     95.31% |     0.2862 | conv1:g1121:2->0
       3 |     94.92% |     0.2802 | conv1:g4123:1->0
       4 |     94.92% |     0.2908 | conv1:g7707:0->1
       5 |     95.70% |     0.2774 | conv1:g8033:2->0
       6 |     96.09% |     0.2790 | conv1:g6849:2->3
       7 |     96.09% |     0.2813 | conv1:g8828:0->2
       8 |     96.09% |     0.2814 | conv2:g3770:3->1
       9 |     96.09% |     0.2804 | conv1:g2401:2->3
      10 |     95.70% |     0.2853 | conv1:g4119:0->1
      11 |     94.92% |     0.3001 | conv1:g5879:0->2
      12 |     95.31% |     0.3037 | conv1:g1021:0->2
      13 |     94.92% |     0.2894 | conv1:g344:1->3
      14 |     94.92% |     0.3147 | conv1:g5895:0->1
      15 |     94.92% |     0.3121 | conv1:g1032:1->0
      16 |     94.92% |     0.3064 | conv1:g369:2->3
      17 |     95.31% |     0.3007 | conv1:g7928:1->3
      18 |     94.92% |     0.3071 | conv2:g796:1->0
      19 |     94.92% |     0.2960 | conv1:g1105:2->3
      20 |     95.31% |     0.3106 | conv1:g1016:1->0
      21 |     95.70% |     0.3150 | conv1:g7981:2->3
      22 |     95.70% |     0.3151 | conv1:g8049:2->3
      23 |     95.31% |     0.3758 | conv1:g5863:0->1
      24 |     93.36% |     0.3942 | conv1:g8036:0->2
      25 |     92.97% |     0.4168 | conv2:g283:3->2
      26 |     92.97% |     0.4219 | conv1:g1316:2->3
      27 |     92.19% |     0.4582 | conv1:g375:0->1
      28 |     92.19% |     0.4782 | conv2:g272:2->0
      29 |     91.41% |     0.5085 | conv1:g1148:2->0
      30 |     89.84% |     0.5266 | conv2:g4058:0->2
      31 |     87.50% |     0.5852 | conv1:g1108:0->2
      32 |     85.94% |     0.6463 | conv2:g843:3->2
      33 |     85.16% |     0.7371 | conv1:g7965:0->2
      34 |     82.81% |     0.8304 | conv1:g64:0->2
      35 |     79.30% |     0.9361 | conv1:g7149:0->2
      36 |     76.17% |     1.0698 | conv2:g235:3->2
      37 |     75.00% |     1.1230 | conv1:g10507:1->3
      38 |     74.61% |     1.1482 | conv1:g1117:0->1
      39 |     71.09% |     1.2711 | conv2:g4087:1->3
      40 |     69.14% |     1.3767 | conv2:g160:2->0
      41 |     68.75% |     1.4529 | conv2:g219:3->2
      42 |     65.62% |     1.5562 | conv1:g6064:1->3
      43 |     64.06% |     1.6607 | conv1:g5463:0->1
      44 |     62.50% |     1.6698 | conv1:g6909:0->2
      45 |     60.16% |     1.9058 | conv1:g2445:0->2
      46 |     58.59% |     1.9844 | conv1:g7125:0->1
      47 |     55.86% |     2.0766 | conv1:g7120:3->1
      48 |     53.12% |     2.1470 | conv1:g1396:3->1
      49 |     48.44% |     2.4015 | conv1:g1121:0->1
      50 |     46.09% |     2.5369 | conv1:g6856:1->3
