====================================================================================================
Task 7: MobileNet-V2 CSR Non-Collision Attack
====================================================================================================

Weights Path: /home/lab-2010/24sparsityBFA/weights/mobilenet_v2-b0353104.pth
Imagenette Root: /home/lab-2010/24sparsityBFA/data/imagenette
BN Calibration Steps: 200
BN Calibration LR: 0.001
Post-BN Sparse FP32 Accuracy: 96.09%
Eval Samples per Check: 128
Max Groups per Layer (sampled): 100
Allow Non-Positive Scores: False
Initial Accuracy: 95.31%
Final Accuracy: 0.00%
Successful Non-Collision Flips Executed: 50
Total Flips Attempted: 699896
Collisions Avoided (Skipped): 231992
Accuracy Drop: 95.31%

----------------------------------------------------------------------------------------------------
   Flips |   Accuracy |       Loss | Move (layer:g:old->new)
----------------------------------------------------------------------------------------------------
       0 |     95.31% |     0.1968 | (initial state)
       1 |     83.59% |     0.9808 | 1:g118:3->2
       2 |     31.25% |     3.3796 | 1:g75:0->2
       3 |      0.78% |     7.0915 | 1:g126:3->2
       4 |      0.00% |    10.6430 | 1:g112:1->0
       5 |      0.00% |    13.0848 | 1:g113:2->3
       6 |      0.00% |    15.8971 | 1:g79:2->3
       7 |      0.00% |    16.9922 | 1:g1:1->0
       8 |      0.00% |    18.1744 | 0:g434:0->2
       9 |      0.00% |    17.5655 | 2:g287:0->1
      10 |      0.00% |    19.6438 | 2:g71:0->1
      11 |      0.00% |    22.2375 | 1:g8:2->0
      12 |      0.00% |    23.4012 | 0:g200:3->1
      13 |      0.00% |    23.5973 | 1:g85:2->0
      14 |      0.00% |    17.5704 | 0:g34:1->0
      15 |      0.00% |    23.5973 | 0:g34:0->1
      16 |      0.00% |    17.4683 | 0:g139:2->3
      17 |      0.00% |    23.5973 | 0:g139:3->2
      18 |      0.00% |    24.2301 | 0:g319:3->1
      19 |      0.00% |    26.0603 | 0:g428:3->2
      20 |      0.00% |    27.4172 | 0:g560:1->0
      21 |      0.00% |    28.4442 | 0:g14:3->1
      22 |      0.00% |    28.1445 | 0:g140:3->2
      23 |      0.00% |    27.8110 | 2:g567:1->3
      24 |      0.00% |    26.4245 | 1:g94:3->2
      25 |      0.00% |    28.5314 | 1:g91:0->2
      26 |      0.00% |    21.3650 | 0:g247:2->3
      27 |      0.00% |    21.1129 | 0:g320:1->3
      28 |      0.00% |    21.2572 | 2:g446:1->0
      29 |      0.00% |    23.0987 | 2:g449:3->2
      30 |      0.00% |    36.1167 | 0:g664:1->0
      31 |      0.00% |    37.8186 | 1:g111:2->3
      32 |      0.00% |    41.9674 | 1:g78:3->2
      33 |      0.00% |    43.7092 | 0:g32:0->1
      34 |      0.00% |    47.5700 | 0:g351:3->2
      35 |      0.00% |    50.6271 | 2:g347:1->0
      36 |      0.00% |    52.1468 | 0:g138:1->0
      37 |      0.00% |    54.1321 | 0:g768:2->0
      38 |      0.00% |    55.3890 | 0:g6658:3->2
      39 |      0.00% |    55.6891 | 0:g740:0->2
      40 |      0.00% |    56.7312 | 2:g671:1->0
      41 |      0.00% |    57.4946 | 2:g425:0->2
      42 |      0.00% |    57.1749 | 0:g324:2->0
      43 |      0.00% |    57.3461 | 1:g32:2->0
      44 |      0.00% |    57.6767 | 2:g302:1->3
      45 |      0.00% |    58.3536 | 2:g156:0->1
      46 |      0.00% |    57.2126 | 0:g184:2->3
      47 |      0.00% |    57.6250 | 0:g659:2->0
      48 |      0.00% |    58.9816 | 2:g408:1->0
      49 |      0.00% |    58.4343 | 2:g750:1->3
      50 |      0.00% |    58.9079 | 0:g1535:0->2
