====================================================================================================
Task 8: DeiT-Tiny CSR Non-Collision Attack
====================================================================================================

Weights Path: /home/lab-2010/24sparsityBFA/weights/deit_tiny_patch16_224-a1311bcf.pth
Imagenette Root: None
Dense FP32 Acc: 95.31%
Sparse FP32 Acc: 87.50%
Sparse INT8 Acc (Pre-Attack): 87.50%
Eval Samples per Check: 128
Max Groups per Layer (sampled): 1000
Allow Non-Positive Scores: False
Initial Accuracy: 87.50%
Final Accuracy: 75.78%
Successful Non-Collision Flips Executed: 50
Total Flips Attempted: 7194462
Collisions Avoided (Skipped): 2393221
Accuracy Drop: 11.72%

----------------------------------------------------------------------------------------------------
   Flips |   Accuracy |       Loss | Move (layer:g:old->new)
----------------------------------------------------------------------------------------------------
       0 |     87.50% |     0.8555 | (initial state)
       1 |     87.50% |     0.8555 | 0:g19024:3->2
       2 |     87.50% |     0.8663 | 0:g23456:2->3
       3 |     87.50% |     0.8756 | 0:g26213:0->1
       4 |     86.72% |     0.8839 | 0:g24932:0->1
       5 |     86.72% |     0.8825 | 0:g22:1->0
       6 |     86.72% |     0.9036 | 0:g8789:1->3
       7 |     86.72% |     0.9115 | 0:g17957:3->1
       8 |     86.72% |     0.9249 | self_attention:g7349:1->3
       9 |     86.72% |     0.9259 | 0:g6164:0->2
      10 |     86.72% |     0.9301 | self_attention:g12197:1->3
      11 |     86.72% |     0.9307 | 0:g16381:3->2
      12 |     86.72% |     0.9226 | 0:g16517:3->1
      13 |     86.72% |     0.9272 | 0:g12773:1->0
      14 |     86.72% |     0.9305 | 0:g17398:0->1
      15 |     78.91% |     1.1991 | 0:g24358:0->1
      16 |     79.69% |     1.2050 | 0:g11590:3->1
      17 |     78.91% |     1.2297 | 0:g8213:3->1
      18 |     78.91% |     1.2510 | 0:g27056:3->2
      19 |     78.91% |     1.2634 | 0:g16517:1->3
      20 |     78.91% |     1.2721 | 3:g15639:0->1
      21 |     78.12% |     1.3678 | 0:g36197:1->3
      22 |     78.12% |     1.3973 | 0:g3676:2->3
      23 |     78.12% |     1.3918 | self_attention:g22876:3->1
      24 |     78.12% |     1.4013 | 0:g32981:1->3
      25 |     78.12% |     1.4126 | 3:g17222:3->1
      26 |     78.12% |     1.4126 | 0:g14339:3->1
      27 |     78.12% |     1.4365 | 0:g21956:0->1
      28 |     78.12% |     1.4408 | 3:g13527:0->1
      29 |     78.12% |     1.4381 | self_attention:g14453:1->3
      30 |     78.12% |     1.4418 | 0:g5765:3->1
      31 |     78.12% |     1.4510 | self_attention:g25521:2->3
      32 |     78.12% |     1.4491 | 3:g23420:0->2
      33 |     78.12% |     1.4579 | 0:g21470:1->0
      34 |     77.34% |     1.4781 | self_attention:g25205:0->1
      35 |     77.34% |     1.4819 | self_attention:g19109:3->1
      36 |     77.34% |     1.4973 | 0:g26756:1->0
      37 |     77.34% |     1.5253 | 3:g17268:2->3
      38 |     77.34% |     1.5272 | 0:g7894:0->1
      39 |     76.56% |     1.5355 | 0:g15860:2->0
      40 |     76.56% |     1.5294 | self_attention:g20789:0->1
      41 |     76.56% |     1.5360 | 0:g3072:1->0
      42 |     76.56% |     1.5296 | 0:g8708:1->0
      43 |     76.56% |     1.5344 | 0:g33488:2->3
      44 |     76.56% |     1.5229 | 3:g36696:0->2
      45 |     76.56% |     1.5536 | 0:g19520:1->3
      46 |     75.78% |     1.5736 | 3:g17266:0->1
      47 |     75.78% |     1.5812 | 0:g18848:2->3
      48 |     75.78% |     1.6197 | self_attention:g23302:1->3
      49 |     75.78% |     1.6302 | 0:g4572:3->2
      50 |     75.78% |     1.6375 | 0:g28928:2->3
