flip,accuracy
0,92.33
1,92.58
2,92.29
3,91.94
4,90.33
5,88.96
6,87.55
7,86.57
8,85.11
9,84.13
10,82.57
11,81.35
12,80.52
13,79.54
14,78.47
15,78.32
16,77.78
17,76.51
18,75.59
19,77.34
20,76.37
21,75.24
22,72.46
23,72.02
24,71.39
25,70.56
26,68.85
27,70.51
28,71.09
29,67.48
30,64.45
31,59.33
32,57.86
33,58.45
34,57.71
35,58.84
36,56.1
37,54.2
38,55.62
39,52.64
40,54.25
41,54.39
42,55.62
43,54.59
44,52.64
45,51.42
46,46.58
47,43.99
48,42.09
49,40.72
50,38.67
