flip,global,zero_only,nonzero_only
0,92.1,92.1,92.1
1,90.31,90.31,90.63
2,87.03,89.85,89.59
3,86.85,86.64,86.01
4,86.29,85.67,79.51
5,84.26,79.46,71.15
6,77.95,72.06,67.12
7,62.98,68.94,60.43
8,60.3,62.89,58.13
9,56.23,57.79,53.39
10,51.74,52.07,48.15
11,49.52,49.89,42.64
12,42.72,49.25,37.67
13,24.4,48.64,33.88
14,13.04,46.94,30.76
15,12.38,44.71,26.33
16,10.65,43.27,26.74
17,10.42,40.58,25.26
18,10.37,41.33,25.58
19,10.4,39.58,24.8
20,10.34,37.94,23.58
21,10.08,33.28,23.17
22,10.1,27.98,21.64
23,10.05,27.47,19.09
24,10.0,24.19,17.89
25,10.0,28.82,17.12
26,10.0,26.56,14.55
27,10.0,23.62,14.26
28,10.0,22.87,14.19
29,10.0,22.45,12.79
30,10.0,20.72,13.23
31,10.0,19.95,14.18
32,10.0,18.53,13.38
33,10.0,17.87,13.58
34,10.0,17.55,13.43
35,10.0,17.99,12.67
36,10.0,16.64,12.43
37,10.0,15.32,11.82
38,10.0,15.32,12.02
39,10.0,15.61,12.09
40,10.0,14.36,11.32
41,10.0,14.3,11.09
42,10.0,14.15,10.66
43,10.0,13.86,10.48
44,10.0,13.84,10.05
45,10.0,13.09,10.01
46,10.0,13.31,10.0
47,10.0,12.85,10.05
48,10.0,12.75,10.01
49,10.0,12.5,10.0
50,10.0,12.43,10.0
